Artist and Title,Streams,Daily
"Mohit Chauhan - Phir Se Ud Chala (From ""Rockstar"")",137215763,67097.0
Ziva Magnolya - Cukup,137144746,70470.0
Mora - DROGA,137125537,170989.0
Tiara Andini - Kupu,136664916,34570.0
Olly - Balorda nostalgia,136362679,198866.0
Jimmy Guzman - 3 AM,136318211,378634.0
Trinix - Vaitimbora,135776384,373040.0
Virlan Garcia - Mi Entorno,135553384,782476.0
Julión Álvarez y su Norteño Banda - Vibra Perfecta,135412597,99662.0
bbno$ - 1-800,135315680,318349.0
"Harris Jayaraj - Vaarayo Vaarayo (From ""Aadhavan"")",134810533,160490.0
Dominic Fike - White Keys,134676195,2405736.0
"Tulsi Kumar - Mere Rashke Qamar (From ""Baadshaho"")",134548485,96568.0
The Weeknd - Baptized In Fear,134274217,106719.0
PEDRO SAMPAIO - JETSKI,134264162,1010301.0
Murilo Huff - Veneno,134140568,124294.0
Kevin Murphy - Meant to Be Yours,134106644,77365.0
TAEYEON - INVU,133904841,26217.0
Selena Gomez - Call Me When You Break Up,133875677,79026.0
KHAOS - Montagem Supersonic,133867814,490048.0
Oscar Maydon - Asquerosamente Rico,133719357,164871.0
Os Paralamas Do Sucesso - Meu Erro,133543106,68373.0
BLOND:ISH - Never Walk Alone,133461405,209413.0
Sabrina Carpenter - Goodbye,133272213,226045.0
Zerb - Location,133199586,136828.0
Armin van Buuren - In And Out Of Love,132674827,115558.0
Glasperlenspiel - Geiles Leben,132519288,27371.0
Lindsey Stirling - Shatter Me,132426593,37708.0
Maná - Eres Mi Religión,132384907,73401.0
BigXthaPlug - Hell At Night,132283384,582411.0
Pancho Barraza - Pero La Recuerdo (Cumbia Santa María),131834445,61657.0
Victor Mendivil - Jacobo Grinberg,131698494,175354.0
Neton Vega - El Plumas,131430915,56160.0
Lil Tecca - OWA OWA,131205556,136668.0
Sai Abhyankkar - Oorum Blood,130935381,373978.0
Yuvan Shankar Raja - Thuli Thuli,130864105,123188.0
Çağla - Seni Düşündüm,130792960,234052.0
The Weeknd - Open Hearts,130776861,125062.0
Sabrina Carpenter - Sugar Talking,130511772,222394.0
VEN1 - Hakayet,129953693,86519.0
Neil Diamond - Forever In Blue Jeans,129776973,59558.0
Hamza - KYKY2BONDY,129674388,145555.0
Gunna - him all along,129525682,137950.0
Sachet-Parampara - Humsafar,129439910,352854.0
Reba McEntire - The Night The Lights Went Out In Georgia,129056285,68023.0
Rony Parulian - Mengapa,128962453,118504.0
Avicii - Fade Into Darkness,128604526,37951.0
Victor Mendivil - PLAK,128284849,278590.0
"Anirudh Ravichander - Manasilaayo (From ""Vettaiyan"")",127933764,70978.0
The Living Tombstone - I Can't Fix You,127891882,101341.0
mrld - Ikaw Pa Rin,127625271,37505.0
Lady Gaga - Vanish Into You,127569967,120249.0
Fuerza Regida - ayy weyy,127528126,225400.0
Rich Homie Quan - Type of Way,127481466,30198.0
Anitta - Sei Que Tu Me Odeia,127131271,81387.0
Traia Véia - Wi-Fi,127065806,47724.0
Ty Myers - Thought It Was Love,126889025,289016.0
Matheus Fernandes - Altas Loucurinhas (Uni Duni Tê),126394944,11635.0
Romeo Santos - Dardos,125955168,886420.0
Neton Vega - Gula,125795776,236047.0
SIENNA SPIRO - You Stole The Show,125495240,677186.0
NAPA - Deslocado,125406111,172031.0
Natalie Cole - Miss You Like Crazy,125191045,40606.0
j-hope - Killin' It Girl (Solo Version),124857639,292477.0
"Harris Jayaraj - Nenjukkul Peidhidum (From ""Vaaranam Aayiram"")",124139725,89778.0
ILLIT - 借りてきた猫 (Do the Dance),123979621,293683.0
Mari Fernandez - Página De Ex,123930833,82907.0
Conjunto Primavera - Te Lloré,123718376,107109.0
Joji - PIXELATED KISSES,123648673,216503.0
Boyzone - Picture Of You,123619900,36232.0
Sufjan Stevens - Death with Dignity,123569383,34152.0
Grupo Menos É Mais - Matadinha De Saudade,123408449,96166.0
Dario Marianelli - Dawn,122981459,54719.0
